Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
BerkeleyDBC,SolverBased,0.012,0.28,0.6936763208128897
BerkeleyDBC,SolverBased,0.013,0.29,0.7226162841965951
BerkeleyDBC,SolverBased,0.014,0.3,0.7488474082203623
BerkeleyDBC,SolverBased,0.015,0.3,0.7726208761169963
BerkeleyDBC,SolverBased,0.016,0.3,0.7941647997458495
BerkeleyDBC,SolverBased,0.017,0.31,0.813686318455154
BerkeleyDBC,SolverBased,0.018,0.32,0.8313735088522378
BerkeleyDBC,SolverBased,0.019,0.33,0.8473971223507297
BerkeleyDBC,SolverBased,0.02,0.34,0.8619121658738516
BerkeleyDBC,SolverBased,0.021,0.34,0.8750593397331726
BerkeleyDBC,SolverBased,0.022,0.34,0.8869663454614984
BerkeleyDBC,SolverBased,0.023,0.34,0.8977490752465626
BerkeleyDBC,SolverBased,0.024,0.36,0.9075126935794554
BerkeleyDBC,SolverBased,0.025,0.36,0.916352620789658
BerkeleyDBC,SolverBased,0.026,0.36,0.924355427279247
BerkeleyDBC,SolverBased,0.027,0.36,0.9315996464851302
BerkeleyDBC,SolverBased,0.028,0.36,0.9381565138834471
BerkeleyDBC,SolverBased,0.029,0.36,0.9440906386985503
BerkeleyDBC,SolverBased,0.03,0.36,0.9494606143847321
BerkeleyDBC,SolverBased,0.031,0.37,0.9543195734071039
BerkeleyDBC,SolverBased,0.032,0.37,0.9587156913541482
BerkeleyDBC,SolverBased,0.033,0.37,0.962692644964275
BerkeleyDBC,SolverBased,0.034,0.37,0.9662900282384002
BerkeleyDBC,SolverBased,0.035,0.37,0.9695437304366151
BerkeleyDBC,SolverBased,0.036,0.37,0.9724862794162552
BerkeleyDBC,SolverBased,0.037,0.38,0.9751471534581799
BerkeleyDBC,SolverBased,0.038,0.38,0.9775530644451877
BerkeleyDBC,SolverBased,0.039,0.38,0.9797282149987743
BerkeleyDBC,SolverBased,0.04,0.38,0.9816945319456927
BerkeleyDBC,SolverBased,0.041,0.38,0.9834718782719496
BerkeleyDBC,SolverBased,0.042,0.38,0.9850782455271389
BerkeleyDBC,SolverBased,0.043,0.38,0.9865299284646818
BerkeleyDBC,SolverBased,0.044,0.39,0.9878416835420655
BerkeleyDBC,SolverBased,0.045,0.39,0.9890268727581581
BerkeleyDBC,SolverBased,0.046,0.39,0.9900975941708334
BerkeleyDBC,SolverBased,0.047,0.39,0.9910648003163058
BerkeleyDBC,SolverBased,0.048,0.39,0.9919384056406798
BerkeleyDBC,SolverBased,0.049,0.39,0.9927273839532917
BerkeleyDBC,SolverBased,0.05,0.39,0.9934398568195745
BerkeleyDBC,SolverBased,0.051,0.4,0.9940831737276045
BerkeleyDBC,SolverBased,0.052,0.42,0.9946639847864472
BerkeleyDBC,SolverBased,0.053,0.43,0.9951883066452463
BerkeleyDBC,SolverBased,0.054,0.43,0.9956615822590659
BerkeleyDBC,SolverBased,0.055,0.43,0.9960887350702666
BerkeleyDBC,SolverBased,0.056,0.43,0.9964742181221343
BerkeleyDBC,SolverBased,0.057,0.44,0.9968220585741411
BerkeleyDBC,SolverBased,0.058,0.47,0.9971358980451757
BerkeleyDBC,SolverBased,0.059,0.47,0.9974190291719401
BerkeleyDBC,SolverBased,0.06,0.48,0.997674428734129
BerkeleyDBC,SolverBased,0.061,0.48,0.9979047876656656
BerkeleyDBC,SolverBased,0.062,0.48,0.9981125382418694
BerkeleyDBC,SolverBased,0.063,0.48,0.998299878705712
BerkeleyDBC,SolverBased,0.064,0.48,0.9984687955720386
BerkeleyDBC,SolverBased,0.065,0.49,0.9986210838265686
BerkeleyDBC,SolverBased,0.066,0.49,0.9987583652164458
